detail_key,cp,chapter_count,likes,publish_date,view_count,is_end
r185,FreenBecky,1,69,2021/9/11,6551,1
r186,NamneungNoey,4,4,2021/9/12,4519,1
r187,NamneungNoey,3,8,2021/9/22,2813,0
r188,FreenBecky,12,254,2022/11/18,35503,1
r189,NamneungNoey,8,73,2022/5/28,12880,0
r190,NamneungNoey,9,19,2022/9/1,5973,1
r191,NamneungNoey,34,173,2021/10/13,119910,1
r192,NamneungNoey,5,19,2021/10/5,9545,0
r193,MilkLove,20,880,2022/1/9,196559,1
r194,LenaMiu,9,27,2026/1/21,9442,1
r195,NamneungNoey,1,5,2021/10/7,1864,0
r196,NamneungNoey,9,61,2021/10/14,24244,1
r197,EngLot,3,1,2024/4/19,147,0
r198,NamneungNoey,1,2,2021/10/18,1047,1
r199,NamneungNoey,3,0,2021/10/23,374,0
r200,NamneungNoey,20,98,2021/10/23,33333,1
r201,NamneungNoey,7,13,2021/10/25,7784,1
r202,NamneungNoey,14,14,2021/11/9,3329,1
r203,NamneungNoey,107,82,2021/10/27,64497,0
r204,MilkLove,9,168,2021/10/31,24933,0
r205,NamneungNoey,18,227,2021/11/22,73939,1
r206,NamneungNoey,52,146,2021/11/5,72196,1
r207,LingOrm,4,6,2021/11/9,789,0
r208,FreenBecky,21,52,2022/2/15,11885,1
r209,NamneungNoey,5,4,2022/2/1,1756,0
r210,LingOrm,11,164,2024/5/24,45193,1
r211,MilkLove,3,0,2022/11/18,375,1
r212,NamneungNoey,2,6,2021/11/17,499,0
r213,FreenBecky,3,22,2022/8/13,2104,0
r214,AppleMim,4,13,2026/4/2,1252,0
r215,NamneungNoey,1,4,2021/11/24,1040,0
r216,FreenBecky,1,41,2021/11/24,7963,1
r217,NamneungNoey,3,6,2021/12/13,725,0
r218,NamneungNoey,30,37,2021/11/24,21593,1
r219,FreenBecky,1,45,2022/1/9,3560,1
r220,FreenBecky,1,41,2021/11/29,5219,1
r221,MilkLove,2,0,2022/11/19,239,1
r222,NamneungNoey,16,122,2021/12/8,25401,1
r223,NamneungNoey,2,7,2021/12/9,1481,0
r224,NamneungNoey,7,5,2021/12/24,3782,0
r225,LingOrm,1,2,2025/4/10,250,1
r226,EngLot,3,12,2022/7/3,2326,0
r227,NamneungNoey,15,101,2022/1/15,34083,1
r228,EmiBonnie,6,10,2022/3/23,1266,0
r230,LingOrm,11,14,2023/11/25,1520,1
r231,NamneungNoey,27,130,2022/1/3,51974,1
r232,LingOrm,8,11,2024/11/20,2588,1
r233,NamneungNoey,4,5,2022/1/12,1731,1
r234,MilkLove,22,267,2022/1/8,64969,1
r235,NamneungNoey,1,21,2022/1/15,9001,0
r236,MilkLove,10,9,2025/2/16,1326,1
r237,FreenBecky,30,158,2022/1/13,40552,0
r238,NamneungNoey,15,8,2022/1/13,2015,0
r239,NamneungNoey,1,17,2022/1/15,6865,0
r241,LingOrm,8,9,2024/7/21,750,0
r242,NamneungNoey,1,104,2022/1/19,44407,1
r243,MilkLove,9,361,2022/1/19,50718,0
r244,MilkLove,3,105,2022/1/22,11324,0
r245,EngLot,21,960,2022/8/7,383185,1
r246,MilkLove,5,52,2022/3/18,5322,0
r247,NamneungNoey,3,35,2022/1/27,5016,0
r248,NamneungNoey,43,161,2022/2/12,139582,1
r249,MilkLove,5,24,2022/2/2,2555,0
r250,MilkLove,20,218,2022/1/25,53173,1
r251,EngLot,42,197,2022/6/19,90645,1
r252,MilkLove,2,25,2022/1/30,2455,0
r253,NamneungNoey,1,5,2022/2/8,1421,1
r254,LingOrm,7,117,2024/4/29,23839,0
r255,MilkLove,19,570,2022/2/6,136272,1
r256,MilkLove,7,62,2022/2/2,13753,1
r257,FreenBecky,6,32,2022/2/2,5564,1
r258,NamneungNoey,18,16,2022/2/11,6743,0
r259,NamneungNoey,1,7,2022/2/11,2544,1
r260,FreenBecky,1,64,2022/2/11,9322,1
r261,MilkLove,4,25,2022/2/13,6283,1
r262,NamneungNoey,27,37,2022/4/7,7218,0
r263,LingOrm,17,669,2024/4/12,185798,1
r264,NamneungNoey,5,10,2022/2/16,1698,1
r265,NamneungNoey,5,5,2022/2/20,1077,0
r266,NamtanFilm,2,12,2023/10/30,1957,0
r267,EngLot,13,29,2022/9/27,8270,0
r268,NamneungNoey,77,56,2022/3/2,61389,1
r269,NamneungNoey,20,48,2022/3/5,19711,1
r270,NamneungNoey,16,71,2022/10/25,28278,0
r271,FreenBecky,1,52,2022/3/8,8052,1
r272,MilkLove,12,410,2022/3/16,74627,1
r273,EmiBonnie,11,57,2025/8/3,10914,0
r274,NamneungNoey,14,76,2022/10/18,34230,1
r275,FreenBecky,1,208,2022/3/20,26401,1
r276,NamneungNoey,1,9,2022/3/22,3208,1
r277,MilkLove,3,25,2024/4/2,2209,0
r278,NamneungNoey,2,22,2022/3/28,5429,0
r280,EngLot,31,292,2022/4/2,109610,1
r281,NamneungNoey,2,5,2022/5/18,2398,0
r282,FreenBecky,13,213,2022/4/26,29702,1
r283,LingOrm,11,16,2025/5/22,5159,0
r284,EngLot,9,80,2022/4/10,25655,0
r285,NamneungNoey,17,66,2022/4/11,22303,1
r286,FreenBecky,11,213,2022/4/18,45938,1
r287,OomBam,19,25,2026/8/8,5236,0
r288,LingOrm,1,111,2024/10/1,4172,1
r289,NamneungNoey,6,7,2022/6/25,6853,0
r290,MilkLove,10,218,2022/7/27,43358,1
r291,EngLot,18,346,2022/4/24,148524,1
r292,EngLot,3,177,2022/4/23,20806,0
r293,EngLot,21,258,2022/4/27,118602,1
r294,NamneungNoey,4,13,2022/5/3,4202,0
r295,FreenBecky,1,161,2022/4/28,17450,0
r296,NamtanFilm,4,8,2025/11/5,1156,0
r297,FreenBecky,2,20,2022/5/1,1761,0
r298,NamneungNoey,4,31,2024/1/21,3366,0
r299,EngLot,5,109,2022/7/3,17146,0
r300,EngLot,1,99,2022/5/3,16997,0
r301,EngLot,20,489,2022/10/14,219883,1
r302,NamneungNoey,11,10,2022/5/7,3406,0
r303,EngLot,4,42,2022/5/7,13283,0
r304,EngLot,10,392,2022/7/7,101313,1
r305,NamneungNoey,26,87,2022/5/11,37167,1
r306,NamneungNoey,1,1,2022/5/11,1369,1
r307,NamneungNoey,8,16,2022/5/12,7245,0
r308,NamneungNoey,5,24,2022/5/14,6094,1
r309,EngLot,5,44,2022/5/15,5262,0
r311,NamneungNoey,3,5,2022/5/20,919,0
r312,EngLot,24,598,2022/7/25,283275,1
r313,EngLot,4,96,2022/5/20,17799,0
r314,EngLot,3,45,2022/6/14,4975,0
r315,NamneungNoey,5,28,2022/5/24,4749,0
r316,NamneungNoey,5,5,2022/5/26,1763,0
r317,FreenBecky,16,349,2022/5/24,79132,1
r319,EngLot,23,172,2022/6/8,86402,1
r320,NamneungNoey,1,2,2022/7/13,1374,1
r321,FreenBecky,4,45,2022/5/30,10514,1
r322,NamneungNoey,4,23,2022/10/29,2200,0
r323,EngLot,4,41,2022/5/30,5914,0
r324,NamneungNoey,2,4,2022/5/30,498,0
