detail_key,article_id,title,author
r18808,Zi9yb9,ครั้งสุดท้าย… | JayGin,WhateVerse
r18949,Zibaxm,ธาราหลงป่า#ginjay,zyrelle
r19087,Zicgrw,Live นี้คุณหมอจองแล้วนะ #ginjay,แมวเทาตัวอ้วน
r19282,Zie41a,พื้นที่ปลอดภัยของผู้หญิงสองคน/Ginjay,เซฟโซนที่ปลอดภัย
r19283,Zie4eo,กอดสุดท้ายจากเจ #ginjay,zyrelle
r19448,Zife90,ปลายปีที่นับสิบรอ | jaygin,zyrelle
r19452,Zifg1f,วัสดุแฟนสาว #JGin,Is'real
r19455,Zifgg7,เกียร์วิศวะ | GINJ,paphawrin_.2555
r19570,Zigdyp,โปรดใจไว้ที่จี |  jaygin,zyrelle
r19579,Zigfcy,Sensenmagia: พันธสัญญาเลือดและเสียงเพลงแห่งมหาสมุทร #JayGin,Candyziza
r19613,Zigqbs,the doctor’s code: โปรดระวังกฎเหล็กของหมอโรม | ginjay,zyrelle
r19749,Zihvmi,เพื่อนกี่โมง | GinJay,WhateVerse
r19919,Zij3tw,ปันที่รักของปี | jaygin,zyrelle
r19969,Zijevx,หมาเด็กของกวิสรา | GinJay,zyrelle
r19971,Zijf4x,โปรดเป็นของจิณณ์ | GinJay,zyrelle
r20115,Zikite,เขยบ้านไร่สะใภ้ไฮโซ,Nirvana
r20181,Zil0gs,[OS] กานต์ (ไม่) รักมุก | JayGin,zyrelle
r20218,Zil88r,Crimson Runway (รหัสลับ รันเวย์เลือด) Ginjay,ksp.
r20297,Zilopf,เศษเสี้ยวที่เหลือทิ้ง (Ginjay),ksp.
r20473,Zimtbp,ตัวแม่แพ้เด็ก,ชาเย็นคือที่หนึ่ง🧋🤘🏼
r20547,Zinavh,แฟนเก่า | GinJay,WhateVerse
r20552,Zincnf,Hafriend เพื่อนเช่า #mychan,นาเอลลี่
r20645,Zio0v0,แค่เส้นบางๆ,พุดพิชญาดารากร
r20718,Ziojkl,raphat — Ginjay jgin,mr.romantic
r21256,Ziskym,เพลิงอสุราครองใจ | ginjay,zyrelle
r21348,Zit9j0,กติกาของไคเอล | ginjay,zyrelle
r21567,Ziv4bv,เมะกูเคะใคร | Ginjay,oneseven
r21600,Zivdjp,นามสกุลของคุณ | ginjay,zyrelle
r21761,Ziwsrc,ขีดเส้นตายยัยตัวร้าย | ginjay,zyrelle
